,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
1,1,False,0.5276365147033659,1.0,-0.0695061110573691,-0.0098544395747438,0.05,0.025,1,2-3
0,0,False,0.9043014921826424,1.0,-1.3154503306933756,-0.1865019578882094,0.05,0.025,0,1-2
1,1,False,0.9997358052217168,1.0,-3.5832815183691813,-0.5080305985314035,0.05,0.025,1,2-3
0,0,False,0.999874558065998,1.0,-3.798998796476599,-0.5386145694945205,0.05,0.025,0,1-2
1,1,False,0.9990980423734788,1.0,-3.207520426173164,-0.4547559307179636,0.05,0.025,1,2-3
0,0,False,0.7694901357384384,1.0,-0.7400522098311538,-0.104923145216935,0.05,0.025,0,1-2
1,1,False,0.9999992878621732,1.0,-5.133222128211274,-0.7277781265080989,0.05,0.025,1,2-3
0,0,False,0.9999998679690056,1.0,-5.527386944710152,-0.7836620381180027,0.05,0.025,0,1-2
1,1,False,0.5804754665692733,1.0,-0.2036448331120458,-0.0288723634811774,0.05,0.025,1,2-3
0,0,False,0.9999807990453738,1.0,-4.311203007220264,-0.6112338740120282,0.05,0.025,0,1-2
1,1,False,0.9993106492125662,1.0,-3.2922214647747743,-0.4667646772025523,0.05,0.025,1,2-3
0,0,False,0.9999991534922322,1.0,-5.091939008057788,-0.7219250870153032,0.05,0.025,0,1-2
1,1,False,0.9252699845575204,1.0,-1.4527334940574952,-0.2059656944923878,0.05,0.025,1,2-3
0,0,False,0.999995805613106,1.0,-4.700771890017597,-0.6664661831906866,0.05,0.025,0,1-2
1,1,False,0.9938798423943208,1.0,-2.5519767677280925,-0.3618142415271889,0.05,0.025,1,2-3
0,0,False,0.9999999949831594,1.0,-6.257834502768916,-0.8872234547173008,0.05,0.025,0,1-2
1,1,False,0.9131232465983536,1.0,-1.3701042715922576,-0.1942506860204036,0.05,0.025,1,2-3
0,0,False,0.994552533753382,1.0,-2.5950272894259907,-0.3679178597311045,0.05,0.025,0,1-2
1,1,False,0.9454590840657584,1.0,-1.6169008630068304,-0.2292410208319756,0.05,0.025,1,2-3
0,0,False,0.9200141429960744,0.9200141429960744,-1.415802604244458,-0.2007297056481304,0.05,0.025,0,1-2
1,1,False,0.2110392482055692,0.4220784964111385,0.8061676096260373,0.1142968564248739,0.05,0.025,1,2-3
0,0,False,0.9999207757750253,1.0,-3.9282398473779554,-0.5569381112278884,0.05,0.025,0,1-2
1,1,False,0.9989976361222916,1.0,-3.1738479672961084,-0.4499819157962669,0.05,0.025,1,2-3
0,0,False,0.972213520989229,1.0,-1.937184820008563,-0.2746502496468109,0.05,0.025,0,1-2
1,1,False,0.9931208547497432,1.0,-2.5082425542504545,-0.3556136908488664,0.05,0.025,1,2-3
0,0,False,0.9999999999974892,1.0,-7.850033670519236,-1.112962317831114,0.05,0.025,0,1-2
1,1,False,0.9853601015621528,1.0,-2.2118037600571987,-0.3135851822681428,0.05,0.025,1,2-3
0,0,False,0.9052504640078876,1.0,-1.3211431287484217,-0.187309071587872,0.05,0.025,0,1-2
1,1,False,0.999040063810216,1.0,-3.1876746683834485,-0.451942238252961,0.05,0.025,1,2-3
0,0,False,0.9999820472164552,1.0,-4.328845172877162,-0.6137351455231048,0.05,0.025,0,1-2
1,1,False,0.8022638758056235,1.0,-0.8534460199641697,-0.1209998963558883,0.05,0.025,1,2-3
0,0,False,0.9999723640774504,1.0,-4.2148549430783575,-0.5975738351782299,0.05,0.025,0,1-2
1,1,False,0.9999238569592624,1.0,-3.939269029591056,-0.5585018069666434,0.05,0.025,1,2-3
